legid,class,userid,tripid,start_lat,start_lon,constart,end_lat,end_lon,start_name,start_country,Definition,Start_Place,end_name,end_country,Definition2,motid,leg_distance,worthwhileness_rating,transport_category,campaign,weekday,weekday_class,activity
#25:34853,Leg,4bzY2zv9MLN1bu1u35n1CoGahEY2,#33:14897,50.877,4.409,50.8774.409,50.88,4.415,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,680,4,walking,BEL,Thursday,Working_day,Walking
#24:24807,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#31:10595,50.844,4.385,50.8444.385,50.844,4.384,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,683,2,walking,BEL,Thursday,Working_day,Walking
#25:20765,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#30:8889,50.848,4.386,50.8484.386,50.851,4.39,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,685,3,walking,BEL,Friday,Working_day,Walking
#25:23620,Leg,4ZfTYSt0erSVLAeGC28PY1Z8bbS2,#31:10127,50.861,4.392,50.8614.392,50.858,4.388,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,693,4,walking,BEL,Friday,Working_day,Walking
#24:5597,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#30:2337,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,699,5,walking,BEL,Thursday,Working_day,Walking
#24:26446,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#32:11244,50.853,4.387,50.8534.387,50.852,4.39,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,701,2,walking,BEL,Sunday,Weekend,Walking
#25:21544,Leg,TtKfRLxsY2av6SFrPi3iBtsjfAi1,#30:9243,50.861,4.36,50.8614.36,50.858,4.355,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,702,4,walking,BEL,Tuesday,Working_day,Walking
#25:34374,Leg,Zj62iyVNq2PEAWH6kVatEsZu5tv1,#33:14704,50.92,4.41,50.924.41,50.92,4.405,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,706,5,walking,BEL,Sunday,Weekend,Walking
#23:22770,Leg,mpZERtkvTXdB3hEpinkwriiX2Mh1,#32:9683,50.855,4.359,50.8554.359,50.858,4.352,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,709,4,walking,BEL,Sunday,Weekend,Walking
#24:18204,Leg,mpZERtkvTXdB3hEpinkwriiX2Mh1,#32:7673,50.847,4.381,50.8474.381,50.843,4.383,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,710,4,walking,BEL,Thursday,Working_day,Walking
#23:10186,Leg,OURmBjDhgohvI2HiJC2PW6QdX2x2,#32:4188,50.847,4.39,50.8474.39,50.847,4.381,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,717,3,walking,BEL,Monday,Working_day,Walking
#24:8261,Leg,OURmBjDhgohvI2HiJC2PW6QdX2x2,#32:3385,50.847,4.391,50.8474.391,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,720,4,walking,BEL,Wednesday,Working_day,Walking
#22:10207,Leg,OURmBjDhgohvI2HiJC2PW6QdX2x2,#31:4225,50.847,4.39,50.8474.39,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,735,5,walking,BEL,Friday,Working_day,Walking
